Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,asset_img300,776,0,2,1.8146980798528884,1.3310600043041632,10.329918994102627,307254.0,10.634171164255969,0.0,2,2,2,2,2,2,5,7,10,10,10
GET,post_img300,776,0,45,45.58231310702749,42.0057400042424,60.9372330000042,73593.0,10.634171164255969,0.0,45,46,46,47,48,48,50,54,61,61,61
,Aggregated,1552,0,10,23.69850559344019,1.3310600043041632,60.9372330000042,190423.5,21.268342328511938,0.0,42,45,45,46,47,48,49,50,60,61,61
