Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,asset_img1mb,768,0,3,3.727409045675737,2.432184002827853,17.149457002233248,1080054.0,10.5607640104834,0.0,3,4,4,4,5,5,8,12,17,17,17
GET,post_img1mb,768,0,45,46.0259721653055,42.89458600396756,74.56747999822255,73746.0,10.5607640104834,0.0,45,46,47,47,48,49,52,60,75,75,75
,Aggregated,1536,0,17,24.87669060549062,2.432184002827853,74.56747999822255,576900.0,21.1215280209668,0.0,43,45,45,46,47,48,50,52,73,75,75
