Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,asset_img1mb,2819,0,3,3.4708732402455924,2.32770100410562,18.1800860009389,1080054.0,38.72620575101963,0.0,3,3,4,4,5,6,7,10,14,18,18
GET,post_img1mb,2819,0,45,45.98629072439203,41.46706699975766,106.45114899671171,73746.0,38.72620575101963,0.0,45,46,46,46,48,52,64,70,87,110,110
,Aggregated,5638,0,18,24.72858198231881,2.32770100410562,106.45114899671171,576900.0,77.45241150203925,0.0,41,44,45,45,46,48,54,64,83,110,110
