Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,asset_img1mb,3083,0,19,32.59605877911524,2.422047000436578,3678.730412000732,1080054.0,42.58518438497348,0.0,19,31,42,50,76,96,130,150,230,3700,3700
GET,asset_img300,2239,0,18,48.89429581335967,1.2891880032839254,22240.484035995905,307254.0,30.927093038584374,0.0,18,32,43,51,78,100,140,180,4200,22000,22000
GET,post_img1mb,3083,0,1100.0,1089.4132101517484,41.456319006101694,23814.961789001245,73746.0,42.58518438497348,0.0,1100,1400,1500,1600,1700,1800,2200,5400,22000,24000,24000
GET,post_img300,2239,0,1200.0,1139.6474305515162,41.71772999688983,23812.17911800195,73593.0,30.927093038584374,0.0,1200,1400,1500,1600,1700,1800,2300,9700,24000,24000,24000
GET,post_text400,1528,0,1400.0,1369.9290646624136,53.88850400049705,24066.923361999216,484199.0,21.10611798256227,0.0,1400,1800,2000,2000,2200,2300,2700,9400,24000,24000,24000
,Aggregated,12172,0,110.0,674.7905941709661,1.2891880032839254,24066.923361999216,423080.66915872495,168.130672829678,0.0,110,800,1300,1400,1700,1900,2200,3300,22000,24000,24000
