Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,post_img1mb,644,0,51,51.73964734314711,48.093261997564696,158.47270900121657,85942.0,9.59194468792449,0.0,51,51,52,52,53,54,58,69,160,160,160
GET,post_img300,511,0,50,51.16840439138149,47.864091997325886,175.64240099818562,85791.0,7.610999589331389,0.0,50,51,51,52,53,53,55,63,180,180,180
GET,post_text400,333,0,63,63.927704909897756,60.28721499751555,176.37916500098072,496405.0,4.959809908507539,0.0,63,64,64,65,66,67,69,86,180,180,180
,Aggregated,1488,0,51,54.27104386288887,47.864091997325886,176.37916500098072,177747.79166666666,22.16275418576342,0.0,51,52,55,62,63,65,67,74,180,180,180
