Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,post_img1mb,1588,0,52,56.67244694261117,47.553133001201786,143.40887400248903,85942.0,23.49196741445952,0.0,52,54,56,58,68,83,100,120,140,140,140
GET,post_img300,1223,0,52,56.17775762062892,46.68659500021022,191.41491100162966,85791.0,18.092365332420652,0.0,52,54,55,57,66,79,100,110,180,190,190
GET,post_text400,828,0,65,69.07784644197045,59.577426000032574,194.1088599996874,496405.0,12.24896033952927,0.0,65,67,69,71,78,88,110,130,190,190,190
,Aggregated,3639,0,54,59.32885412719077,46.68659500021022,194.1088599996874,179285.9656499038,53.83329308640944,0.0,54,61,64,65,72,84,110,120,180,190,190
