Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,post_img1mb,406,0,51,52.595918202014175,48.32924200309208,150.6665630004136,85942.0,6.060915062921298,0.0,51,52,52,53,55,58,65,83,150,150,150
GET,post_img300,309,0,51,52.55868676694554,47.82504899776541,138.71476900021662,85791.0,4.612863927198722,0.0,51,51,52,53,55,60,71,100,140,140,140
GET,post_text400,206,0,63,64.82809120866169,60.37076100255945,161.10514599859016,496405.0,3.075242618132481,0.0,64,65,65,66,68,71,75,78,160,160,160
,Aggregated,921,0,52,55.31939608033467,47.82504899776541,161.10514599859016,177699.5667752443,13.749021608252502,0.0,52,54,61,62,64,67,73,88,160,160,160
