Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,asset_img300,7298,0,14,38.4999221701509,1.2928320065839216,13352.859320999414,307254.0,100.04785522404093,0.0,14,25,34,42,69,92,130,160,5700,13000,13000
GET,post_img300,7298,0,990.0,1022.44014314718,41.366069999639876,14988.743990004878,73593.0,100.04785522404093,0.0,990,1400,1500,1600,1700,1800,2800,5400,15000,15000,15000
,Aggregated,14596,0,66,530.470032658664,1.2928320065839216,14988.743990004878,190423.5,200.09571044808186,0.0,66,470,1000,1300,1600,1700,1900,3100,14000,15000,15000
