Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,post_img1mb,2784,86,400.0,1070.884932007837,2.8700020011456218,6461.876697001571,83362.27801724138,41.423069774743944,1.2795919542485559,400,1100,2200,2500,3000,3200,3500,4100,5600,6500,6500
GET,post_img300,2160,64,390.0,1054.9833046225856,2.8763049995177425,5661.390414999914,83321.07407407407,32.13858861833582,0.9522544775803206,390,1100,2200,2500,2900,3200,3400,3600,5000,5700,5700
GET,post_text400,1396,55,480.0,1333.97260874072,3.6872140008199494,7127.8600379991985,476943.2736389685,20.77105079222074,0.818343691670588,480,1300,2900,3200,3700,4000,4300,4400,6700,7100,7100
,Aggregated,6340,205,420.0,1123.396427523129,2.8700020011456218,7127.8600379991985,170010.55394321767,94.3327091853005,3.050190123499464,420,1200,2300,2600,3100,3500,4000,4200,5500,7100,7100
